Profile,Map,Character,PUUID,Mode,Rounds,Round Differential,Score,Win,Start,End,Length,Date,ability1,ability2,signature,ultimate,KDA,Kills,Deaths,Assists,Damage Made,Damage Received,Headshot %,Headshot,Body,Legs,Start Time (UNIX),End Time (UNIX),links,Damage Ratio,Log,Filename
OfficialBoaster,Breeze,Viper,c3133fa9-e9a2-578c-a193-b2d3f5aa94c7,competitive,28.0,2,-4.64,True,07:41:40 PM,08:27:09 PM,2729,2024-01-08,30.0,26.0,27.0,2.0,1.47,22.0,19.0,6.0,4132.0,3928.0,35.71,20 (35.71%),35 (62.50%),1 (1.79%),1704742900.0,1704745629.0,https://www.twitch.tv/videos/2026701809?t=00h01m58s,1.0519348268839104,"Kills: 22.0, Bonus: -2.00); KDA: 1.47, Bonus: -0.56); Headshot %: 35.71, Bonus: 0.18); Damage Made: 4132.0, Bonus: 1.18); Length: 2729.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 2.0, Bonus: 0.70); Damage Ratio: 1.0519348268839104, Bonus: -4.79); Assists: 6.0, Bonus: -0.35); Deaths: 19.0 (Tier: Deaths:15.0:-1.5, Bonus: -1.5)","1704742900, OfficialBoaster, Viper, Breeze, 22K, 19D, 6A, 15-13, win True.md"
OfficialBoaster,Sunset,Omen,c3133fa9-e9a2-578c-a193-b2d3f5aa94c7,competitive,24.0,2,-25.18,True,08:32:49 PM,09:10:20 PM,2251,2024-01-08,10.0,18.0,47.0,2.0,1.4,8.0,15.0,13.0,1774.0,2945.0,18.75,6 (18.75%),24 (75.00%),2 (6.25%),1704745969.0,1704748220.0,https://www.twitch.tv/videos/2026701809?t=00h53m07s,0.6023769100169779,"Kills: 8.0, Bonus: -26.00); KDA: 1.4, Bonus: -0.70); Headshot %: 18.75, Bonus: -0.88); Length: 2251.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 2.0, Bonus: 0.70); Assists: 13.0, Bonus: 0.70); Deaths: 15.0 (Tier: Deaths:15.0:-1.5, Bonus: -1.5)","1704745969, OfficialBoaster, Omen, Sunset, 8K, 15D, 13A, 13-11, win True.md"
thebcj,Ascent,Jett,4ae9ac7a-9ea0-55ef-b4c5-930ba3bfe808,competitive,19.0,-7,-55.08,False,03:29:27 AM,03:54:52 AM,1525,2024-01-09,11.0,2.0,17.0,1.0,0.44,5.0,18.0,3.0,1296.0,3392.0,18.52,5 (18.52%),21 (77.78%),1 (3.70%),1704770967.0,1704772492.0,https://www.twitch.tv/videos/2027046786?t=01h17m32s,0.38207547169811323,"Kills: 5.0, Bonus: -50.00); Headshot %: 18.52, Bonus: -0.85); Length: 1525.0, Bonus: 0.27); Win: 0.0, Bonus: -3.00); Deaths: 18.0 (Tier: Deaths:15.0:-1.5, Bonus: -1.5)","1704770967, thebcj, Jett, Ascent, 5K, 18D, 3A, 6-13, win False.md"
thebcj,Haven,Killjoy,4ae9ac7a-9ea0-55ef-b4c5-930ba3bfe808,competitive,22.0,4,-11.94,True,04:02:10 AM,04:35:34 AM,2004,2024-01-09,32.0,21.0,8.0,2.0,1.42,12.0,12.0,5.0,2832.0,2593.0,30.23,13 (30.23%),29 (67.44%),1 (2.33%),1704772930.0,1704774934.0,https://www.twitch.tv/videos/2027046786?t=01h50m15s,1.0921712302352486,"Kills: 12.0, Bonus: -8.67); KDA: 1.42, Bonus: -0.66); Headshot %: 30.23, Bonus: -0.23); Damage Made: 2832.0, Bonus: 0.25); Length: 2004.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 4.0, Bonus: 0.90); Damage Ratio: 1.0921712302352486, Bonus: -4.63); Assists: 5.0, Bonus: -0.50); Deaths: 12.0, Bonus: -0.90)","1704772930, thebcj, Killjoy, Haven, 12K, 12D, 5A, 13-9, win True.md"
derrekow,Ascent,Omen,ffcc2498-7db0-5d30-b13a-176b23c6fcc0,competitive,23.0,3,-0.33,True,05:08:06 AM,05:42:53 AM,2087,2024-01-09,9.0,17.0,53.0,3.0,2.4,23.0,15.0,13.0,3857.0,3013.0,39.62,21 (39.62%),30 (56.60%),2 (3.77%),1704776886.0,1704778973.0,https://www.twitch.tv/videos/2027173859?t=00h01m50s,1.280119482243611,"Kills: 23.0, Bonus: -1.33); KDA: 2.4, Bonus: 0.90); Headshot %: 39.62, Bonus: 0.47); Damage Made: 3857.0, Bonus: 1.01); Length: 2087.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 3.0, Bonus: 0.80); Damage Ratio: 1.280119482243611, Bonus: -3.88); Assists: 13.0, Bonus: 0.70); Deaths: 15.0 (Tier: Deaths:15.0:-1.5, Bonus: -1.5)","1704776886, derrekow, Omen, Ascent, 23K, 15D, 13A, 13-10, win True.md"
derrekow,Sunset,Omen,ffcc2498-7db0-5d30-b13a-176b23c6fcc0,competitive,22.0,4,-10.26,True,05:48:53 AM,06:22:07 AM,1994,2024-01-09,10.0,16.0,48.0,2.0,1.64,14.0,14.0,9.0,2671.0,2653.0,34.15,14 (34.15%),27 (65.85%),0 (0.00%),1704779333.0,1704781327.0,https://www.twitch.tv/videos/2027173859?t=00h42m37s,1.006784771956276,"Kills: 14.0, Bonus: -7.33); KDA: 1.64, Bonus: -0.22); Headshot %: 34.15, Bonus: 0.06); Damage Made: 2671.0, Bonus: 0.01); Length: 1994.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 4.0, Bonus: 0.90); Damage Ratio: 1.006784771956276, Bonus: -4.97); Assists: 9.0, Bonus: 0.10); Deaths: 14.0, Bonus: -1.30)","1704779333, derrekow, Omen, Sunset, 14K, 14D, 9A, 13-9, win True.md"
OfficialBoaster,Sunset,Omen,c3133fa9-e9a2-578c-a193-b2d3f5aa94c7,competitive,22.0,4,0.33,True,06:30:05 PM,07:02:48 PM,1963,2024-01-09,13.0,14.0,44.0,4.0,2.08,23.0,13.0,4.0,4056.0,2514.0,36.0,18 (36.00%),32 (64.00%),0 (0.00%),1704825005.0,1704826968.0,https://www.twitch.tv/videos/2027560651?t=00h06m13s,1.6133651551312649,"Kills: 23.0, Bonus: -1.33); KDA: 2.08, Bonus: 0.58); Headshot %: 36.0, Bonus: 0.20); Damage Made: 4056.0, Bonus: 1.13); Length: 1963.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 4.0, Bonus: 0.90); Damage Ratio: 1.6133651551312649, Bonus: -2.55); Deaths: 13.0, Bonus: -1.10)","1704825005, OfficialBoaster, Omen, Sunset, 23K, 13D, 4A, 13-9, win True.md"
OfficialBoaster,Lotus,Cypher,c3133fa9-e9a2-578c-a193-b2d3f5aa94c7,competitive,16.0,10,-10.64,True,07:05:55 PM,07:32:40 PM,1605,2024-01-09,25.0,24.0,15.0,1.0,1.71,10.0,7.0,2.0,1682.0,1323.0,10.87,5 (10.87%),29 (63.04%),12 (26.09%),1704827155.0,1704828760.0,https://www.twitch.tv/videos/2027560651?t=00h42m03s,1.2713529856387,"Kills: 10.0, Bonus: -10.00); KDA: 1.71, Bonus: -0.08); Headshot %: 10.87, Bonus: -0.09); Length: 1605.0, Bonus: 0.34); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 10.0 (Tier: Round Differential:5.0:1.0, Bonus: 1.0); Damage Ratio: 1.2713529856387, Bonus: -3.91); Deaths: 7.0, Bonus: 0.10)","1704827155, OfficialBoaster, Cypher, Lotus, 10K, 7D, 2A, 13-3, win True.md"
JOLLZTV,Ascent,Reyna,93d30406-ee26-5b5b-820b-b68d8cdc9b99,competitive,18.0,8,-3.74,True,09:58:22 PM,10:25:06 PM,1604,2024-01-09,15.0,5.0,4.0,1.0,2.0,18.0,11.0,4.0,3189.0,2360.0,45.45,15 (45.45%),16 (48.48%),2 (6.06%),1704837502.0,1704839106.0,https://www.twitch.tv/videos/2027695151?t=01h07m32s,1.351271186440678,"Kills: 18.0, Bonus: -4.67); KDA: 2.0, Bonus: 0.50); Headshot %: 45.45, Bonus: 0.77); Damage Made: 3189.0, Bonus: 0.61); Length: 1604.0, Bonus: 0.34); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 8.0 (Tier: Round Differential:5.0:1.0, Bonus: 1.0); Damage Ratio: 1.351271186440678, Bonus: -3.59); Deaths: 11.0, Bonus: -0.70)","1704837502, JOLLZTV, Reyna, Ascent, 18K, 11D, 4A, 13-5, win True.md"
zt0L,Icebox,Fade,1e8d1126-2237-5543-ac2b-90520ace30d7,competitive,21.0,-5,-16.8,False,10:11:10 PM,10:44:55 PM,2025,2024-01-09,19.0,11.0,24.0,2.0,1.0,12.0,14.0,2.0,1909.0,2806.0,22.22,6 (22.22%),19 (70.37%),2 (7.41%),1704838270.0,1704840295.0,https://www.twitch.tv/videos/2027605522?t=02h57m01s,0.680327868852459,"Kills: 12.0, Bonus: -8.67); KDA: 1.0, Bonus: -1.50); Headshot %: 22.22, Bonus: -0.83); Length: 2025.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 0.0, Bonus: -3.00); Round Differential: -5.0, Bonus: -2.00); Deaths: 14.0, Bonus: -1.30)","1704838270, zt0L, Fade, Icebox, 12K, 14D, 2A, 8-13, win False.md"
JOLLZTV,Icebox,Omen,93d30406-ee26-5b5b-820b-b68d8cdc9b99,competitive,36.0,-2,-5.99,False,10:28:56 PM,11:22:47 PM,3231,2024-01-09,6.0,12.0,49.0,1.0,1.32,30.0,25.0,3.0,5684.0,4711.0,40.85,29 (40.85%),38 (53.52%),4 (5.63%),1704839336.0,1704842567.0,https://www.twitch.tv/videos/2027695151?t=01h38m06s,1.2065378900445765,"Kills: 30.0, Bonus: 1.00); KDA: 1.32, Bonus: -0.86); Headshot %: 40.85, Bonus: 0.54); Damage Made: 5684.0 (Tier: Damage Made:5500.0:2.0, Bonus: 2.0); Length: 3231.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 0.0, Bonus: -3.00); Round Differential: -2.0, Bonus: -0.50); Damage Ratio: 1.2065378900445765, Bonus: -4.17); Deaths: 25.0 (Tier: Deaths:15.0:-1.5, Bonus: -1.5)","1704839336, JOLLZTV, Omen, Icebox, 30K, 25D, 3A, 17-19, win False.md"
Saadhak,Icebox,Neon,5fcb9a26-3ce5-56a2-8d97-8d94cb38b8d1,competitive,22.0,4,-6.88,True,10:48:19 PM,11:19:48 PM,1889,2024-01-09,6.0,26.0,22.0,3.0,1.21,15.0,14.0,2.0,2313.0,2830.0,23.91,11 (23.91%),34 (73.91%),1 (2.17%),1704840499.0,1704842388.0,https://www.twitch.tv/videos/2027790120?t=00h06m42s,0.8173144876325088,"Kills: 15.0, Bonus: -6.67); KDA: 1.21, Bonus: -1.08); Headshot %: 23.91, Bonus: -0.71); Damage Made: 2313.0, Bonus: -0.53); Length: 1889.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 4.0, Bonus: 0.90); Deaths: 14.0, Bonus: -1.30)","1704840499, Saadhak, Neon, Icebox, 15K, 14D, 2A, 13-9, win True.md"
Saadhak,Bind,Neon,5fcb9a26-3ce5-56a2-8d97-8d94cb38b8d1,competitive,18.0,8,-6.92,True,11:22:14 PM,11:48:09 PM,1555,2024-01-09,9.0,18.0,18.0,2.0,1.38,15.0,13.0,3.0,2081.0,2830.0,22.22,10 (22.22%),27 (60.00%),8 (17.78%),1704842534.0,1704844089.0,https://www.twitch.tv/videos/2027790120?t=00h40m37s,0.7353356890459364,"Kills: 15.0, Bonus: -6.67); KDA: 1.38, Bonus: -0.74); Headshot %: 22.22, Bonus: -0.83); Damage Made: 2081.0, Bonus: -0.88); Length: 1555.0, Bonus: 0.30); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 8.0 (Tier: Round Differential:5.0:1.0, Bonus: 1.0); Deaths: 13.0, Bonus: -1.10)","1704842534, Saadhak, Neon, Bind, 15K, 13D, 3A, 13-5, win True.md"
JOLLZTV,Sunset,Reyna,93d30406-ee26-5b5b-820b-b68d8cdc9b99,competitive,26.0,-2,-11.85,False,11:46:00 PM,12:27:14 AM,2474,2024-01-09,21.0,2.0,8.0,3.0,0.95,15.0,21.0,5.0,2905.0,3882.0,26.09,12 (26.09%),32 (69.57%),2 (4.35%),1704843960.0,1704846434.0,https://www.twitch.tv/videos/2027695151?t=02h55m10s,0.7483256053580628,"Kills: 15.0, Bonus: -6.67); Headshot %: 26.09, Bonus: -0.54); Damage Made: 2905.0, Bonus: 0.36); Length: 2474.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 0.0, Bonus: -3.00); Round Differential: -2.0, Bonus: -0.50); Assists: 5.0, Bonus: -0.50); Deaths: 21.0 (Tier: Deaths:15.0:-1.5, Bonus: -1.5)","1704843960, JOLLZTV, Reyna, Sunset, 15K, 21D, 5A, 12-14, win False.md"
Saadhak,Breeze,Neon,5fcb9a26-3ce5-56a2-8d97-8d94cb38b8d1,competitive,20.0,6,-8.76,True,11:58:39 PM,12:28:06 AM,1767,2024-01-09,8.0,17.0,20.0,2.0,1.82,15.0,11.0,5.0,2853.0,2384.0,15.69,8 (15.69%),40 (78.43%),3 (5.88%),1704844719.0,1704846486.0,https://www.twitch.tv/videos/2027790120?t=01h17m02s,1.1967281879194631,"Kills: 15.0, Bonus: -6.67); KDA: 1.82, Bonus: 0.14); Headshot %: 15.69, Bonus: -0.57); Damage Made: 2853.0, Bonus: 0.28); Length: 1767.0, Bonus: 0.47); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 6.0 (Tier: Round Differential:5.0:1.0, Bonus: 1.0); Damage Ratio: 1.1967281879194631, Bonus: -4.21); Assists: 5.0, Bonus: -0.50); Deaths: 11.0, Bonus: -0.70)","1704844719, Saadhak, Neon, Breeze, 15K, 11D, 5A, 13-7, win True.md"
Sgares,Ascent,Yoru,734c9302-7a8a-5920-8cb5-d28137f5d113,competitive,22.0,4,-10.09,True,12:14:28 AM,12:50:22 AM,2154,2024-01-10,13.0,13.0,33.0,3.0,1.27,15.0,15.0,4.0,3137.0,2814.0,27.91,12 (27.91%),29 (67.44%),2 (4.65%),1704845668.0,1704847822.0,https://www.twitch.tv/videos/2027609888?t=04h55m33s,1.1147832267235251,"Kills: 15.0, Bonus: -6.67); KDA: 1.27, Bonus: -0.96); Headshot %: 27.91, Bonus: -0.41); Damage Made: 3137.0, Bonus: 0.58); Length: 2154.0 (Tier: Length:1800.0:0.5, Bonus: 0.5); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 4.0, Bonus: 0.90); Damage Ratio: 1.1147832267235251, Bonus: -4.54); Deaths: 15.0 (Tier: Deaths:15.0:-1.5, Bonus: -1.5)","1704845668, Sgares, Yoru, Ascent, 15K, 15D, 4A, 13-9, win True.md"
AverageJonas,Bind,Brimstone,d09b5a17-55dc-54e8-ac42-09c47e69bd0e,competitive,15.0,8,-35.46,True,12:16:12 AM,12:36:20 AM,1208,2024-01-10,9.0,5.0,27.0,2.0,2.14,7.0,7.0,8.0,1798.0,1506.0,19.35,6 (19.35%),24 (77.42%),1 (3.23%),1704845772.0,1704846980.0,https://www.twitch.tv/videos/2027572031?t=05h38m29s,1.1938911022576362,"Kills: 7.0, Bonus: -34.00); KDA: 2.14, Bonus: 0.64); Headshot %: 19.35, Bonus: -0.94); Length: 1208.0, Bonus: 0.01); Win: 1.0 (Tier: Win:1.0:2.0, Bonus: 2.0); Round Differential: 8.0 (Tier: Round Differential:5.0:1.0, Bonus: 1.0); Damage Ratio: 1.1938911022576362, Bonus: -4.22); Assists: 8.0, Bonus: -0.05); Deaths: 7.0, Bonus: 0.10)","1704845772, AverageJonas, Brimstone, Bind, 7K, 7D, 8A, 10-2, win True.md"
